main,pdi,idv,mas,uai,ltowvs,ivr,estim
albanian,90.0,20.0,80.0,70.0,61.460957178841305,14.50892857142857,1.0
arabic,79.375,33.625,53.125,70.75,20.053211586901767,29.13839285714285,0.75
armenian,85.0,22.0,50.0,88.0,60.95717884130982,25.0,1.0
azerbaijani,85.0,22.0,50.0,88.0,61.0,22.0,1.0
bahasa,89.0,20.0,48.0,42.0,51.38539042821158,47.43303571428571,0.0
bangla,80.0,20.0,55.0,60.0,47.10327455919395,19.642857142857142,0.0
belorussian,95.0,25.0,20.0,95.0,81.0,15.0,1.0
bokmål,31.0,69.0,8.0,50.0,34.5088161209068,55.13392857142857,0.0
bulgarian,70.0,30.0,40.0,85.0,69.0176322418136,15.848214285714285,0.0
castilian,57.0,51.0,42.0,86.0,47.60705289672544,43.52678571428571,0.0
chinese,58.0,17.0,45.0,69.0,92.94710327455918,49.107142857142854,0.0
croatian,73.0,33.0,40.0,80.0,58.43828715365239,33.25892857142857,0.0
danish,18.0,74.0,16.0,23.0,34.76070528967254,69.64285714285714,0.0
dutch,51.5,77.5,34.0,73.5,74.43324937027708,62.50000000000001,0.0
english,47.666666666666664,56.0,55.888888888888886,49.22222222222222,24.956898964455636,69.67162698412697,0.3333333333333333
estonian,40.0,60.0,30.0,60.0,82.11586901763224,16.294642857142854,0.0
filipino,94.0,32.0,64.0,44.0,27.455919395465994,41.96428571428571,0.0
finnish,33.0,63.0,26.0,59.0,38.287153652392945,57.36607142857142,0.0
french,69.0,43.0,46.5,70.5,45.23803526448363,32.92410714285712,0.5
georgian,65.0,41.0,55.0,85.0,38.287153652392945,31.919642857142854,1.0
german,26.666666666666668,63.333333333333336,71.66666666666667,64.33333333333333,72.29219143576826,56.398809523809526,0.3333333333333333
greek,60.0,35.0,57.0,112.0,45.34005037783375,49.55357142857142,0.0
hindi,77.0,48.0,56.0,40.0,50.8816120906801,26.1160714285714,0.0
icelandic,30.0,60.0,10.0,50.0,27.95969773299748,66.74107142857142,1.0
isizulu,49.0,65.0,63.0,49.0,34.0,63.0,0.0
italian,50.0,76.0,70.0,75.0,61.460957178841305,29.687499999999996,0.0
japanese,54.0,46.0,95.0,92.0,87.9093198992443,41.7410714285714,0.0
kazak,88.0,20.0,50.0,88.0,85.0,22.0,1.0
latvian,44.0,70.0,9.0,63.0,68.76574307304786,12.94642857142857,0.0
lithuanian,42.0,60.0,19.0,65.0,81.86397984886649,15.624999999999998,0.0
luxermbourgish,40.0,60.0,50.0,70.0,63.979848866498735,56.02678571428571,0.0
magyar,46.0,80.0,88.0,82.0,58.186397984886646,31.47321428571428,1.0
maltese,56.0,59.0,47.0,96.0,47.10327455919395,65.625,0.0
mandarin,74.0,20.0,48.0,8.0,71.53652392947103,45.535714285714285,0.0
moldovan,90.0,27.0,39.0,95.0,71.0327455919395,19.1964285714286,1.0
persian,58.0,41.0,43.0,59.0,13.602015113350125,40.40178571428571,0.0
polish,68.0,60.0,64.0,93.0,37.78337531486146,29.241071428571427,0.0
portuguese,75.0,23.6,30.6,64.8,22.008060453400503,67.68214285714285,0.6
romanian,90.0,30.0,42.0,90.0,51.88916876574307,19.866071428571427,0.0
russian,93.0,39.0,36.0,95.0,81.360201511335,19.866071428571427,0.0
serbian,87.0,24.5,45.5,91.0,63.727959697733,23.99553571428571,0.5
slovenian,71.0,27.0,19.0,88.0,48.614609571788414,47.544642857142854,0.0
spanish,66.88888888888889,23.0,50.0,86.22222222222223,21.701651273439687,72.73115079365078,0.1111111111111111
standard,80.0,20.0,66.0,30.0,87.4055415617128,23.6607142857143,0.0
swahili,70.0,25.0,40.0,50.0,34.0,38.39285714285714,1.0
swedish,31.0,71.0,5.0,29.0,52.896725440806044,77.67857142857142,0.0
thai,64.0,20.0,34.0,64.0,31.738035264483624,45.08928571428571,0.0
turkish,66.0,37.0,45.0,85.0,45.59193954659949,49.107142857142854,0.0
ukrainian,92.0,25.0,27.0,95.0,86.0,14.0,1.0
urdu,55.0,14.0,50.0,70.0,49.87405541561713,0.0,0.0
vietnamese,70.0,20.0,40.0,30.0,57.178841309823675,35.49107142857142,0.0
